Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,فوال الخبزة الساخنة,26.2506599,50.212018799999996,restaurant,4,12,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم كروان الشرق,26.2506243,50.2116068,restaurant,4.8,6,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,بوفيه حسن خواجي لتقديم الوجبات,26.2507324,50.2115345,restaurant,4.5,6,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,فوال أحلى عدس لتقديم الوجبات,26.2507417,50.2128708,restaurant,5,4,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Our Hamat transportation company.,26.2738616,49.9882795,restaurant,4.4,39,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,McDonald's,26.2654423,50.0705652,restaurant,3,247,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,معجنات أفران أجيال,26.2658848,50.07091930000001,restaurant,4.5,146,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Anjar Restaurant مطعم عنجر للمعجنات والشاورما,26.265894199999998,50.070705100000005,restaurant,4,274,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شواية اجيال,26.2659904,50.072078,restaurant,4.1,198,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ovlo,26.2658845,50.0705512,restaurant,4.5,110,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Subway,26.2655225,50.0712506,restaurant,4.8,146,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم زنبق الشام (شاورما_برجر) عالفحم,26.2658843,50.0705618,restaurant,4.3,99,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ورق عنب سوما | Soma Grape Leaves,26.2661043,50.0715299,restaurant,4.9,86,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Ghaim Kitchen,26.2559965,50.0702991,restaurant,5,34,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,قصر لبدة,26.2654347,50.0707795,restaurant,5,2,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,باستا واندومي اسرع لقمه,26.265754299999998,50.0708663,restaurant,4.1,34,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مطعم رشتة,26.265749200000002,50.0715265,restaurant,4.3,14,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,McDonald's,26.2654423,50.0705652,restaurant,3,247,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,معجنات أفران أجيال,26.2658848,50.07091930000001,restaurant,4.5,146,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Anjar Restaurant مطعم عنجر للمعجنات والشاورما,26.265894199999998,50.070705100000005,restaurant,4,274,OPERATIONAL,https://maps.google.com/?cid=N/A
