ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
102,Karam Beirut - Al Khobar,26.2723521,50.2211958,restaurant,4.2,6236,OPERATIONAL
103,Salkara Family Restaurant,26.278311,50.2036669,restaurant,4,3257,OPERATIONAL
104,Shalimar Restaurant,26.2760473,50.2107317,restaurant,4.1,4180,OPERATIONAL
105,Shekhdar,26.2724916,50.2161857,restaurant,4.6,1333,OPERATIONAL
106,Raye Mashwyat / Grill Patron,26.2693907,50.2068115,restaurant,4.4,5161,OPERATIONAL
107,مطعم باجه وكباب عراقي الخبر,26.2711727,50.210924000000006,restaurant,3.9,580,OPERATIONAL
108,McDonald's,26.266577,50.212969,restaurant,3.8,2118,OPERATIONAL
109,Brasa De Brazil Khobar,26.2720203,50.2205671,restaurant,4.2,5165,OPERATIONAL
110,South Street Restaurant,26.274315,50.2155031,restaurant,4.3,386,OPERATIONAL
111,Sanbok Restaurant,26.2718302,50.2207358,restaurant,3.7,3637,OPERATIONAL
112,Taj al Hind Bollywood Kitchen,26.2668778,50.2127616,restaurant,4.8,4594,OPERATIONAL
113,Egah Restaurant & Cafe - مطعم ايجه,26.2717584,50.2209392,restaurant,4.1,593,OPERATIONAL
114,Anjappar Indian Restaurant - Khobar,26.2698125,50.2163125,restaurant,3.7,1375,OPERATIONAL
115,Melrose Lounge,26.2767687,50.2199774,restaurant,4.6,1667,OPERATIONAL
116,Como Seafood Restaurant,26.2782373,50.2189709,restaurant,4.1,3898,OPERATIONAL
117,Golden Juice,26.2700575,50.2125349,restaurant,4,2110,OPERATIONAL
118,ميز وحدات المنطقة والقاعدة,26.292812,50.0177777,restaurant,4.3,4,OPERATIONAL
119,Restaurant and Mandi Rehab,26.296407,50.0349877,restaurant,3.8,1725,OPERATIONAL
120,مطعم أبو الطيب ( فرع جبرين) Abu Tayeb Restaurant ( branch of Gabrin),26.2950627,50.0342307,restaurant,3.8,427,OPERATIONAL
121,ALKARAK,26.2958212,50.03428840000001,restaurant,3.9,649,OPERATIONAL
122,Herfy,26.2949657,50.0346039,restaurant,2.8,264,OPERATIONAL
123,كبدة عزام,26.295360700000003,50.0341051,restaurant,4.1,121,OPERATIONAL
124,Barn's | بارنز,26.2954097,50.0356568,restaurant,3.6,26,OPERATIONAL
125,البيتزا الحاره Pizza hot,26.2953886,50.0341117,restaurant,4.4,149,OPERATIONAL
126,Wasam Buffet,26.2957172,50.0342532,restaurant,3.7,86,OPERATIONAL
127,بخاري بالخمس,26.2950129,50.0344185,restaurant,3.8,48,OPERATIONAL
128,فوال تمیس Breakfast Center,26.2953166,50.0340982,restaurant,3.7,48,OPERATIONAL
129,TastiestDish,26.2847386,50.0607869,restaurant,4.3,314,OPERATIONAL
130,شركة ألذ طبق لتقديم الوجبات شركة شخص واحد,26.2847334,50.0607544,restaurant,4.6,84,OPERATIONAL
131,بوفية عبدالله مطيلق العتيبي,26.2843805,50.0603129,restaurant,3.5,46,OPERATIONAL
132,مطعم احلا الايام لتقديم الوجبات,26.2845198,50.0611819,restaurant,3.3,9,OPERATIONAL
133,Casapasta | كازاباستا,26.2898135,50.100793200000005,restaurant,4.5,137,OPERATIONAL
134,The Club Club ذا كلوب كلوب,26.2897538,50.1007723,restaurant,4.3,60,OPERATIONAL
135,Ronaldo’s Pizza رونالدوز بيتزا,26.2898701,50.100785,restaurant,4.1,40,OPERATIONAL
136,Dhahran Hills Snack Bar,26.2910605,50.1057303,restaurant,3.8,72,OPERATIONAL
137,Jebel Heights Food Court,26.2898211,50.1007576,restaurant,3.7,7,OPERATIONAL
138,عريكة أركان الديرة,26.2847654,50.1329898,restaurant,4.1,131,OPERATIONAL
139,بوفيه البنوك,26.2844839,50.133044,restaurant,3.8,18,OPERATIONAL
140,مطعم ومطبخ فارس الفرسان,26.2844972,50.13306980000001,restaurant,3,151,OPERATIONAL
141,مطاعم أرض البركة,26.2844508,50.1329718,restaurant,3.4,49,OPERATIONAL
142,Al Rashid Mall,26.2908311,50.1805653,restaurant,4.3,50912,OPERATIONAL
143,Mandi King Restaurant,26.2812475,50.1819547,restaurant,3.8,5200,OPERATIONAL
144,Dar Mubarak,26.2837098,50.1810086,restaurant,4.5,4780,OPERATIONAL
145,McDonald's,26.290136,50.181503,restaurant,3.7,1726,OPERATIONAL
146,مطعم فلافل الياسمين | Falafel Al Yasmeen,26.2785857,50.1852209,restaurant,4.5,1251,OPERATIONAL
147,Domino's,26.2943716,50.1706371,restaurant,3.8,541,OPERATIONAL
148,Karak and Chabati,26.2779715,50.1833563,restaurant,3.9,951,OPERATIONAL
149,KFC,26.2898125,50.1809375,restaurant,3.5,315,OPERATIONAL
150,Asmahan Restaurant,26.2905919,50.178427,restaurant,4.5,505,OPERATIONAL
151,Barn's | بارنز,26.2935069,50.1720541,restaurant,4.1,55,OPERATIONAL
152,Fuddruckers,26.2908311,50.1805653,restaurant,4.1,2449,OPERATIONAL
153,مطعم الرواق الشعبي / الراشد مول,26.2910597,50.1802732,restaurant,4,769,OPERATIONAL
154,Kudu - Venicia Mall,26.2870979,50.1837468,restaurant,4,358,OPERATIONAL
155,Hardee’s,26.2903117,50.1805573,restaurant,4.1,410,OPERATIONAL
156,AlRowad Restaurant,26.2791565,50.1856145,restaurant,4.3,291,OPERATIONAL
157,Herfy,26.2867805,50.1842939,restaurant,3.7,500,OPERATIONAL
158,La Casa Pasta,26.2918602,50.1809536,restaurant,4.2,264,OPERATIONAL
159,Noodlez,26.289734,50.1810789,restaurant,4,590,OPERATIONAL
160,بوفيه كرك ياسر,26.2843057,50.18445020000001,restaurant,4.2,123,OPERATIONAL
161,الرومانسية -الخبر | Al romansiah,26.283026,50.20179,restaurant,4,8523,OPERATIONAL
162,Al Shallal Pastries,26.2910763,50.2028589,restaurant,4.4,7833,OPERATIONAL
163,Shwaiat Al-Khalij,26.2901488,50.1941407,restaurant,4.2,4256,OPERATIONAL
164,Ninar restaurant,26.2883845,50.1887743,restaurant,4.5,9607,OPERATIONAL
165,Modawar,26.2961365,50.1915905,restaurant,4.2,1907,OPERATIONAL
166,Madina Restaurant,26.2880423,50.1883326,restaurant,3.9,9057,OPERATIONAL
167,Fawwal Abu Azooz,26.2888535,50.1880004,restaurant,3.9,3462,OPERATIONAL
168,مطعم حارة ورد |فرع الخبر,26.2846974,50.196128300000005,restaurant,4.7,10269,OPERATIONAL
169,Curry House,26.2833048,50.1922953,restaurant,4.2,924,OPERATIONAL
170,ركن وردة - Rokn Warda,26.2922467,50.1851132,restaurant,4.5,2605,OPERATIONAL
