ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status
183,Boad Coffee Roasters,26.3056433,50.1783536,cafe,4.3,747,OPERATIONAL
184,Dunkin' - دانكن,26.308732,50.176896,cafe,4.2,966,OPERATIONAL
185,Msherieb cafe,26.2990625,50.1761875,cafe,4.4,137,OPERATIONAL
186,Tea Time,26.2997163,50.1985235,cafe,4.2,4590,OPERATIONAL
187,ATYPICAL,26.3059554,50.1902352,cafe,4.2,736,OPERATIONAL
188,Olden,26.3016142,50.2013745,cafe,4.6,322,OPERATIONAL
189,ARCHI ارتشي,26.2986126,50.1898021,cafe,4.3,421,OPERATIONAL
190,Shay Bokhar,26.3007852,50.1980621,cafe,4.3,2220,OPERATIONAL
191,Savor Bakery (Al Khobar),26.3042581,50.2004774,cafe,4.5,1115,OPERATIONAL
192,Luini Bakery,26.298761700000004,50.200806500000006,cafe,4.9,904,OPERATIONAL
193,امو | Amo,26.299692900000004,50.2199016,cafe,4.1,971,OPERATIONAL
194,نَصّ,26.3030151,50.211627,cafe,3.6,2162,OPERATIONAL
195,Andes Coffee Roasters,26.2977716,50.2190152,cafe,4.6,2474,OPERATIONAL
196,KOY & BAKERY HOUSE,26.3041815,50.21124770000001,cafe,4.4,3017,OPERATIONAL
197,Panama Coffee,26.2998099,50.2122161,cafe,4,1141,OPERATIONAL
198,Balancd Coffee,26.3049922,50.2170139,cafe,4.4,2663,OPERATIONAL
199,Petibon بتي بون,26.2987323,50.2134603,cafe,4.3,684,OPERATIONAL
200,PART COFFEE HOUSE | قهوة جزء,26.2961044,50.2179219,cafe,4.8,1482,OPERATIONAL
201,OffTheEarth,26.3119351,50.2171357,cafe,4.5,968,OPERATIONAL
202,Bohemia Cafe & Records,26.29956,50.2148822,cafe,3.6,1613,OPERATIONAL
203,Vial Cafe,26.3002506,50.2166777,cafe,4.6,1397,OPERATIONAL
204,The 3rd Place,26.2993921,50.215190500000006,cafe,4.3,1110,OPERATIONAL
205,شاهي رزه ( رزهـ),26.2985426,50.2166725,cafe,4.5,554,OPERATIONAL
206,"Dear diary,",26.2982925,50.2100857,cafe,4.8,433,OPERATIONAL
207,Shrq Coffee Roasters (Alkurnaish ) | (مقهى ومحمصة شرق (الكورنيش,26.3116081,50.2230026,cafe,4.4,5831,OPERATIONAL
208,Soil Roasters,26.3133645,50.2237342,cafe,4.5,1299,OPERATIONAL
209,ARCHI,26.3094536,50.2224032,cafe,4,1415,OPERATIONAL
210,Dopeamine,26.3073626,50.2239294,cafe,4.2,1813,OPERATIONAL
211,طبخات وريه,26.327654,49.998692,cafe,4.9,39,OPERATIONAL
212,THiRDWAVE | KFMMC | ثيردويڤ - مدينة الملك فهد الطبية,26.3214873,50.0189508,cafe,4.6,90,OPERATIONAL
213,Tim Hortons,26.3209034,50.0215424,cafe,4.2,91,OPERATIONAL
214,Dunkin' - دانكن,26.3210625,50.0210625,cafe,4.6,10,OPERATIONAL
