Place ID,Name,Latitude,Longitude,Category,Rating,Number of Reviews,Business Status,Google Maps URL
N/A,Dunkin' - دانكن,26.269562500000003,50.216562499999995,cafe,3.7,151,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,COFFE SHACK(مقهى الكوخ ),26.270573,50.2165294,cafe,4.7,439,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Golden Restaurant,26.2775017,50.212886999999995,cafe,4.1,545,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,TEA TIME TEA INNOVATION,26.2774067,50.2116069,cafe,4.5,113,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,تكية مزاج | Takya Mazaj,26.2783265,50.207962699999996,cafe,4.6,82,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Konafa golden crown,26.271102199999998,50.1956991,cafe,4.1,272,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Krispy Kreme,26.2675625,50.214437499999995,cafe,4.1,137,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,campero lounge & cafe,26.2732165,50.2163584,cafe,4.1,29,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tazamun مقهى تزامن,26.2705961,50.2130033,cafe,4.8,60,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Derby Coffee,26.2665042,50.218628599999995,cafe,3.9,74,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ديوانيه النظم الشعبية,26.2592753,50.2041834,cafe,4.1,65,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Azeem Cafeteria,26.2776247,50.2130905,cafe,4,185,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ومطعم ماء الذهب,26.272852099999998,50.2211858,cafe,3.9,20,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Sun Room Cafe & Restaurant,26.272147699999998,50.2211776,cafe,3.7,4253,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,ceasario,26.255441599999997,50.220722599999995,cafe,4,875,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,المذاق المغربي,26.273318999999997,50.2199697,cafe,4.3,204,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Cafe De Paris,26.2782433,50.218693599999995,cafe,3.5,780,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Starbucks,26.268666999999997,50.216055999999995,cafe,4.3,1353,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,شذرات كافيه,26.2750395,50.2191444,cafe,4.4,615,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Dunkin' - دانكن,26.269562500000003,50.216562499999995,cafe,3.7,151,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,COFFE SHACK(مقهى الكوخ ),26.270573,50.2165294,cafe,4.7,439,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Krispy Kreme,26.2675625,50.214437499999995,cafe,4.1,137,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,campero lounge & cafe,26.2732165,50.2163584,cafe,4.1,29,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Derby Coffee,26.2665042,50.218628599999995,cafe,3.9,74,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,مقهى ومطعم ماء الذهب,26.272852099999998,50.2211858,cafe,3.9,20,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Tazamun مقهى تزامن,26.2705961,50.2130033,cafe,4.8,60,OPERATIONAL,https://maps.google.com/?cid=N/A
N/A,Cafe Bijou,26.2766551,50.2199477,cafe,4.4,20,OPERATIONAL,https://maps.google.com/?cid=N/A
