Unnamed: 0,main_id,gid,level,area,population_count,population_male_count,population_female_count,population_density_km2,median_age,male_median_age,female_medium_age,geometry_region,geometry,centroid,inside_city
61483,713782,12341432132343,14,400 meters x 400 meters,54,32.0,22.0,337.5,30,32.0,27.0,"[[[49.986195911850395, 26.368278155456377], [49.98978917298687, 26.368278155456377], [49.98978917298687, 26.365058700294696], [49.986195911850395, 26.365058700294696], [49.986195911850395, 26.368278155456377]]]","POLYGON ((49.986195911850395 26.368278155456377, 49.98978917298687 26.368278155456377, 49.98978917298687 26.365058700294696, 49.986195911850395 26.365058700294696, 49.986195911850395 26.368278155456377))",POINT (49.98799254241863 26.36666842787554),True
61488,714915,12341431244432,14,400 meters x 400 meters,394,220.0,174.0,2462.5,26,28.0,20.0,"[[[49.93948351707618, 26.345740086621557], [49.94307677821266, 26.345740086621557], [49.94307677821266, 26.342520003963802], [49.93948351707618, 26.342520003963802], [49.93948351707618, 26.345740086621557]]]","POLYGON ((49.93948351707618 26.345740086621557, 49.94307677821266 26.345740086621557, 49.94307677821266 26.342520003963802, 49.93948351707618 26.342520003963802, 49.93948351707618 26.345740086621557))",POINT (49.94128014764443 26.344130045292683),True
61500,713344,12341432242441,14,400 meters x 400 meters,85,53.0,32.0,531.3,37,45.0,32.0,"[[[50.17304549094725, 26.37149752094509], [50.17663875208373, 26.37149752094509], [50.17663875208373, 26.368278155456377], [50.17304549094725, 26.368278155456377], [50.17304549094725, 26.37149752094509]]]","POLYGON ((50.17304549094725 26.37149752094509, 50.17663875208373 26.37149752094509, 50.17663875208373 26.368278155456377, 50.17304549094725 26.368278155456377, 50.17304549094725 26.37149752094509))",POINT (50.174842121515496 26.369887838200732),True
61516,714940,12341443113322,14,400 meters x 400 meters,265,140.0,125.0,1656.3,25,25.0,26.0,"[[[50.191011796629645, 26.19752365313281], [50.19460505776612, 26.19752365313281], [50.19460505776612, 26.194299456308773], [50.191011796629645, 26.194299456308773], [50.191011796629645, 26.19752365313281]]]","POLYGON ((50.191011796629645 26.19752365313281, 50.19460505776612 26.19752365313281, 50.19460505776612 26.194299456308773, 50.191011796629645 26.194299456308773, 50.191011796629645 26.19752365313281))",POINT (50.19280842719788 26.19591155472079),True
61517,714941,12341441133444,14,400 meters x 400 meters,538,314.0,224.0,3362.5,33,35.0,31.0,"[[[50.20538484117556, 26.342520003963802], [50.20897810231204, 26.342520003963802], [50.20897810231204, 26.339299831694444], [50.20538484117556, 26.339299831694444], [50.20538484117556, 26.342520003963802]]]","POLYGON ((50.20538484117556 26.342520003963802, 50.20897810231204 26.342520003963802, 50.20897810231204 26.339299831694444, 50.20538484117556 26.339299831694444, 50.20538484117556 26.342520003963802))",POINT (50.2071814717438 26.340909917829123),True
61518,714942,12341432334434,14,400 meters x 400 meters,60,,,375.0,36,,,"[[[49.99697569525983, 26.239430085937908], [50.00056895639631, 26.239430085937908], [50.00056895639631, 26.236207050158757], [49.99697569525983, 26.236207050158757], [49.99697569525983, 26.239430085937908]]]","POLYGON ((49.99697569525983 26.239430085937908, 50.00056895639631 26.239430085937908, 50.00056895639631 26.236207050158757, 49.99697569525983 26.236207050158757, 49.99697569525983 26.239430085937908))",POINT (49.99877232582807 26.23781856804833),True
61519,715361,12341432423323,14,400 meters x 400 meters,277,156.0,121.0,1731.3,39,40.0,36.0,"[[[50.129926357309515, 26.297429441032612], [50.133519618445995, 26.297429441032612], [50.133519618445995, 26.29420801500768], [50.129926357309515, 26.29420801500768], [50.129926357309515, 26.297429441032612]]]","POLYGON ((50.129926357309515 26.297429441032612, 50.133519618445995 26.297429441032612, 50.133519618445995 26.29420801500768, 50.129926357309515 26.29420801500768, 50.129926357309515 26.297429441032612))",POINT (50.13172298787776 26.295818728020148),True
61530,712520,12341432143111,14,400 meters x 400 meters,245,229.0,16.0,1531.3,37,37.0,33.0,"[[[50.00775547866927, 26.365058700294696], [50.01134873980574, 26.365058700294696], [50.01134873980574, 26.36183915546771], [50.00775547866927, 26.36183915546771], [50.00775547866927, 26.365058700294696]]]","POLYGON ((50.00775547866927 26.365058700294696, 50.01134873980574 26.365058700294696, 50.01134873980574 26.36183915546771, 50.00775547866927 26.36183915546771, 50.00775547866927 26.365058700294696))",POINT (50.009552109237504 26.3634489278812),True
61533,718552,12341434243224,14,400 meters x 400 meters,376,237.0,139.0,2350.0,29,30.0,26.0,"[[[50.14789266299191, 26.15560213458796], [50.15148592412839, 26.15560213458796], [50.15148592412839, 26.152376778026873], [50.14789266299191, 26.152376778026873], [50.14789266299191, 26.15560213458796]]]","POLYGON ((50.14789266299191 26.15560213458796, 50.15148592412839 26.15560213458796, 50.15148592412839 26.152376778026873, 50.14789266299191 26.152376778026873, 50.14789266299191 26.15560213458796))",POINT (50.149689293560144 26.153989456307414),True
61580,717620,12341414434432,14,400 meters x 400 meters,1588,928.0,660.0,9925.0,32,34.0,29.0,"[[[50.11196005162713, 26.448735370869525], [50.11555331276361, 26.448735370869525], [50.11555331276361, 26.445518159828975], [50.11196005162713, 26.445518159828975], [50.11196005162713, 26.448735370869525]]]","POLYGON ((50.11196005162713 26.448735370869525, 50.11555331276361 26.448735370869525, 50.11555331276361 26.445518159828975, 50.11196005162713 26.445518159828975, 50.11196005162713 26.448735370869525))",POINT (50.11375668219538 26.44712676534925),True
