POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
دوز,26.429543,50.040595,Coffee Shop,8.3,0.9970688458710084
Starbucks (ستاربكس),26.412554,50.071022,Coffee Shop,8.7,0.9596785052149686
Kav Specialized Coffee,26.46298,50.063263,Coffee Shop,8.5,0.9751732281017929
PappaRoti Cafe (باباروتي كافيه),26.462396,50.06472,Café,8.3,0.964691503796
Starbucks (ستاربكس),26.431259,50.08409,Coffee Shop,7.9,0.9854270888357208
Verocci Cafe,26.454256,50.061719,Café,7.7,0.9654061668168494
Tim Hortons,26.436701,50.033922,Coffee Shop,8.0,0.9998037384117038
مجلس و دلة,26.431419,50.039743,Coffee Shop,7.8,0.9861417518565704
Tim Hortons,26.427405,50.038187,Coffee Shop,7.7,0.9279226092450464
Tim Hortons,26.414539,50.076121,Coffee Shop,7.9,0.9817087696402864
مجلس كرك وچباتي,26.443943,50.070307,Café,7.3,0.9481403225305284
ستاربكس,26.438295,50.08364,Coffee Shop,7.6,0.97508001118603
Majlesi Karak & Chapati,26.443974,50.070418,Café,7.2,0.962889310091249
مقهى الأصايل,26.415575,50.065251,Café,7.5,0.964732933536339
مقهى فرجان الأول,26.462273,50.064516,Coffee Shop,7.5,0.92430786440046
Mado,26.462122,50.06728,Coffee Shop,7.4,0.7171902350102021
Café Liwan (قهوة الليوان),26.462581,50.064908,Café,7.3,0.9598338667412402
ستاربكس,26.433101,50.044451,Coffee Shop,6.6,0.941843001998985
أروما كافيه,26.445943,50.071318,Coffee Shop,6.5,0.921024557478586
مقهى دار المزاج,26.434344,50.05502,Café,,0.9427958860267844
مقهى ديوانية المجلس,26.43705,50.054068,Coffee Shop,5.5,0.8962910024961419
مقهى وتين,26.442311,50.068725,Coffee Shop,,0.941335487679831
Daily Coffee,26.443111,50.068751,Coffee Shop,,0.9009829205895452
وادي القهوة,26.426443,50.059359,Coffee Shop,,0.9731120985199224
Seattle's Best Coffee & Cinnabon,26.429839,50.07054,Café,,0.9434484044371252
ديوانية المساء,26.434011,50.046165,Café,,0.5392184279485028
Damamm,26.4297,50.043278,Café,,0.9180623310443402
ديوانيتنا الجديدة,26.431509,50.079571,Café,,0.9003821893546282
محمصة و قهوة قلم المختصة,26.439188,50.041122,Coffee Shop,,0.6484997255279703
أرت سويت,26.42691,50.04423,Coffee Shop,,0.99561880495914
N48 Cafe,26.432556,50.080952,Café,,0.9017079410454796
قهوة وترويقة,26.427161,50.04235,Café,,0.950988617178842
Majlis & Dalla (مجلس و دلة),26.431603,50.039694,Café,,0.9032304840029416
UMQ Coffee (قهوة عُمق),26.45869,50.08524,Coffee Shop,9.5,0.999906783084237
Starbucks (ستاربكس),26.422585,50.091569,Coffee Shop,8.3,0.9801344395074004
بوفية عزيز,26.423848,50.094082,Café,8.1,0.9648468653222716
TREEPICA Café,26.458456,50.080743,Coffee Shop,8.1,0.9546447917637676
bREw’s (بروز),26.421533,50.090762,Coffee Shop,7.8,0.9774518638204436
Brighton Cafe,26.417279,50.091732,Coffee Shop,7.8,0.9806212389563848
Keen Cafe,26.461207,50.077944,Coffee Shop,7.4,0.9811080384053692
مستوصف الفارابي (مجمع الفارابي الطبي),26.413929,50.078945,Coffee Shop,6.8,0.9950491460294772
Rawaq Hajer (رواق هجر),26.45821,50.080808,Café,6.0,0.8785901459362604
Kayan (كيان),26.435393,50.088411,Coffee Shop,,0.9834591761696132
المذاق المغربي,26.44928,50.088435,Coffee Shop,,0.8750479031372671
Pianolla Cafe,26.449388,50.088466,Coffee Shop,,0.7420170069084092
مقهى فرجان الاول,26.457264,50.071643,Coffee Shop,,0.9524283006556256
Rochen Café,26.420432,50.092025,Café,,0.9105739054780474
Dose (دوز),26.447072,50.097542,Coffee Shop,,0.9713927642958498
Brighton Cafe,26.417295,50.091669,Coffee Shop,,0.9551523060829216
Les Galets Family Coffee Shop,26.456756,50.089895,Coffee Shop,,0.1828812312918828
Joffrey’S,26.425652,50.099228,Coffee Shop,,0.9449088027840784
Ocaso Caffee,26.423561,50.030331,Coffee Shop,8.6,0.9853960165304664
Le 42 Cafe,26.423576,50.030267,Coffee Shop,8.6,0.9627650208702316
Dip N Dip,26.423853,50.030312,Coffee Shop,8.5,0.9914965457953993
One O One Cafe (101 Cafè),26.421524,50.026367,Coffee Shop,8.8,0.9977731514567733
ستاربكس,26.428619,50.039654,Coffee Shop,7.5,0.6220571937565381
C House Cafe,26.411431,50.047636,Coffee Shop,8.0,0.9638939812944722
نويمي كافيه,26.421585,50.02564,Coffee Shop,7.8,0.9975660027550778
La Maison Du Cafe,26.436486,50.058066,Café,,0.8890511553718837
وادي القهوة,26.426907,50.036257,Café,,0.9725838693305988
5 O’clock Cafe,26.426307,50.036594,Café,,0.8939087924266435
Zawia,26.432137,50.032256,Coffee Shop,,0.5461393765208078
Fluffy Clouds (فلفِي),26.423653,50.027433,Café,,0.9933919564159132
بارنز كافيه,26.42276,50.027962,Coffee Shop,,0.7322603030585506
Barn’s,26.422582,50.027884,Coffee Shop,,0.980569451780961
بارنز,26.422463,50.027913,Coffee Shop,,0.976136469564677
Bati Cafe,26.422834,50.027505,Café,,0.9393054304032148
Sahar Cafe,26.442426,50.068446,Coffee Shop,,0.5545060021336317
Kiwan (كيوان),26.425922,50.0237,Café,,0.7922801654532016
قهوه الدوانيه,26.418006,50.029727,Café,,0.9129146858072068
dr.CAFE COFFEE | V12 Station | د.كيف كافيه (dr.CAFE COFFEE | د. كيف),26.45616,50.09686,Coffee Shop,9.0,0.9887621829330184
CORE COFFEE & ROASTERY (Core Coffee & Roastery),26.458855,50.093134,Coffee Shop,9.0,0.9788397601218034
Starbucks (ستاربكس),26.411946,50.093566,Coffee Shop,9.1,0.9796062103180768
Starbucks (ستاربكس),26.45491,50.11388,Coffee Shop,9.2,0.99885032470559
Starbucks (ستاربكس),26.412921,50.100693,Coffee Shop,8.9,0.9922319236864184
Tim Hortons (تيم هورتنز),26.411544,50.092832,Coffee Shop,9.0,0.986846057442335
Location Coffee (لوكيشن كافيه),26.456777,50.101138,Coffee Shop,8.6,0.947518876425442
Caribou Coffee (كاريبو كوفي),26.458773,50.093211,Coffee Shop,8.5,0.9385286227718568
Zaffron Lounge (ديوانية زعفران),26.421009,50.100572,Café,8.0,0.9594609990781884
قيصرية الواحة,26.429371,50.117122,Café,8.2,0.9948627121979512
المذاق المغربي,26.459282,50.095385,Coffee Shop,8.2,0.9877885840350497
ستاربكس,26.428519,50.107585,Coffee Shop,7.7,0.9473220851588312
3.C Café,26.458341,50.092317,Café,8.0,0.9940134025209996
كوخ الكرك,26.46131,50.092482,Café,8.1,0.9412319133289831
Cafficha (كافيشا),26.461947,50.092263,Coffee Shop,8.1,0.9906161638131932
Morth Coffee (مورث),26.459396,50.088284,Coffee Shop,8.0,0.96330360749464
Avenue cafe,26.421009,50.101281,Café,7.7,0.9604035256709028
قهوة الطريق,26.439674,50.118311,Coffee Shop,7.8,0.9658515365254948
Tim Hortons,26.456027,50.105241,Coffee Shop,7.8,0.9518793565961324
Lulia (لوليا),26.4139,50.096175,Café,6.5,0.9513821997120632
وناسه كافيه,26.420415,50.107059,Café,6.4,0.9467524262291686
Reds Caffe,26.438697,50.105965,Café,,0.8999575345161525
karak Cup,26.436514,50.10737,Café,,0.9248775233301224
Coffee eltgaa,26.44643,50.103275,Coffee Shop,,0.9780629524904452
انتقاء القهوة,26.446984,50.103129,Coffee Shop,,0.965012584283628
مقهى زمن الطيبين,26.4462,50.10446,Café,,0.9534536867290184
Starbucks (ستاربكس),26.411037,50.109414,Coffee Shop,9.2,0.9986846057442336
شغف,26.406726,50.103451,Coffee Shop,8.2,0.9665765569814292
صبا كافيه,26.421007,50.097969,Coffee Shop,,0.9407554713150836
Habits (هابيتس),26.452591,50.124033,Coffee Shop,9.0,0.9546344343286828
Troy (تروي),26.452454,50.124545,Café,9.0,0.9916208350164164
Marsa Café,26.460289,50.112737,Café,8.5,0.9743032035546716
Tim Hortons (تيم هورتنز),26.459142,50.121581,Coffee Shop,8.8,0.991134035567432
Ratio Speciality Coffee (ريشيو للقهوة المختصة),26.452074,50.130308,Coffee Shop,9.2,0.9975142155796538
017 Cafe,26.451996,50.130228,Coffee Shop,9.1,0.9976695771059256
Cereza Cafe & Roastery (مقهى ومحمصة سيريزا),26.464125,50.122635,Café,9.0,0.9341267128608272
Coffee Address (عنوان القهوة),26.463766,50.121752,Coffee Shop,8.9,0.9958259536608356
Dose (دوز),26.457896,50.120312,Coffee Shop,8.4,0.9737542594951786
Park Coffee,26.451734,50.127202,Coffee Shop,8.4,0.972811732902464
Butlers Chocolate Cafe,26.461372,50.121171,Café,8.3,0.9433966172617012
Scarface,26.454049,50.120242,Coffee Shop,7.9,0.9734228215724658
View Cafe,26.451949,50.126317,Café,8.0,0.9710509689380522
Icons Coffee Couture,26.451596,50.127771,Coffee Shop,8.0,0.9775761530414608
ستاربكس,26.464957,50.091795,Coffee Shop,7.8,0.9753700193684036
ستاربكس,26.440571,50.127659,Coffee Shop,7.4,0.9717656319589016
Spar Cafe,26.460941,50.121048,Café,6.5,0.9186319899740027
بكلو,26.408554,50.059054,Café,8.6,0.9811805404509628
Coffee Valley,26.409276,50.058686,Coffee Shop,7.7,0.9973381391832128
Noimi91 Coffee,26.421905,50.025553,Café,,0.0380327575147612
ACE (ايس),26.467515,50.059517,Coffee Shop,8.7,0.9618949963231106
Tim Hortons (تيم هورتنز),26.468223,50.060633,Coffee Shop,8.7,0.922132803032657
