Business ID,District,City,Latitude,Longitude,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Business Type
6438,1st Industrial Dist.,Dammam,26.3979752,50.139516,كوستا كوفي - الشرقية,26.400957,50.116567,Coffee Shop,8.0,0.9910304612165844,Coffee Shop
6439,1st Industrial Dist.,Dammam,26.3979752,50.139516,Coffee Company,26.388844,50.154169,Coffee Shop,7.8,0.9913826140094668,Coffee Shop
6440,1st Industrial Dist.,Dammam,26.3979752,50.139516,La Mode Cafe at Novotel Business Park,26.40754,50.138548,Café,7.5,0.9732363877409398,Coffee Shop
6441,1st Industrial Dist.,Dammam,26.3979752,50.139516,كواليس,26.380289,50.148443,Coffee Shop,7.9,0.9521590073434216,Coffee Shop
6442,1st Industrial Dist.,Dammam,26.3979752,50.139516,Lounge Cafe (لاونج كافيه),26.410375,50.126388,Café,7.7,0.341608923966069,Coffee Shop
6443,1st Industrial Dist.,Dammam,26.3979752,50.139516,سينزيو,26.400281,50.116745,Coffee Shop,7.8,0.6322281950097878,Coffee Shop
6444,1st Industrial Dist.,Dammam,26.3979752,50.139516,ستاربكس,26.380995,50.148118,Coffee Shop,7.7,0.9946348486260862,Coffee Shop
6445,1st Industrial Dist.,Dammam,26.3979752,50.139516,dip n dip (Dip N Dip),26.40031,50.1152,Café,7.7,0.9221431604677418,Coffee Shop
6446,1st Industrial Dist.,Dammam,26.3979752,50.139516,Cafe Liwan (قهوة ليوان),26.401203,50.116266,Café,7.4,0.9221224455975722,Coffee Shop
6447,1st Industrial Dist.,Dammam,26.3979752,50.139516,PIANOLLA (بيانولا),26.40071,50.115213,Coffee Shop,7.2,0.8870936001408611,Coffee Shop
6448,1st Industrial Dist.,Dammam,26.3979752,50.139516,قهوه الطريق,26.410087,50.156028,Coffee Shop,7.1,0.9400615231644036,Coffee Shop
6449,1st Industrial Dist.,Dammam,26.3979752,50.139516,مقلط الفريج,26.400988,50.116677,Café,6.9,0.9788086878165492,Coffee Shop
6450,1st Industrial Dist.,Dammam,26.3979752,50.139516,Oliver Brown Chocolate Cafe,26.400097,50.116794,Coffee Shop,6.9,0.9186837771494268,Coffee Shop
