Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
180,Abu Hilal Restaurants (مطاعم ابو هلال),26.411304,50.033397,Middle Eastern Restaurant,8.8,0.9938269686894736
182,Hamour Al Khaleej (هامور الخليج),26.413809,50.031608,Seafood Restaurant,8.3,0.9731949580006009
183,الصاج اللبناني,26.416775,50.029579,Middle Eastern Restaurant,8.1,0.9847331406850408
184,كودو,26.420817,50.023438,Fast Food Restaurant,8.1,0.9988609854891888
186,Abu Nawas (أبو نواس),26.41533,50.030554,Fast Food Restaurant,7.8,0.990947602
188,Mishwar Restaurant,26.416514,50.029708,Restaurant,7.7,0.9840391925343608
189,دجاج كنتاكى,26.420602,50.02297,Fried Chicken Joint,7.6,0.9995732481101997
190,Sama Deeraty Rest (مطاعم سما ديرتي),26.409859,50.034371,Middle Eastern Restaurant,7,0.9727392308568706
191,مطاعم هاشم,26.410952,50.033444,Falafel Restaurant,7,0.9728945923831422
192,شيوخ القوافل للأكلات الشعبية,26.459183,50.049932,Middle Eastern Restaurant,6.9,0.9977013065061658
193,Hardee's (هارديز),26.420427,50.022807,Burger Joint,6.9,0.9986932775188992
194,Arwana (اروانا),26.420211,50.033705,Fish and Chips Shop,6.6,0.9932883820650654
195,Herfy (هرفي),26.414315,50.030704,Fast Food Restaurant,6.3,0.982371645
197,أسماك الشرقية,26.421244,50.034913,Fish and Chips Shop,,0.9620710727195516
199,Akleel Al Wadi,26.425199,50.024506,Turkish Restaurant,,0.9998795760067664
203,شواية الخليج,26.424495,50.114444,Middle Eastern Restaurant,8.8,0.9982288786005034
204,Subway (صب واي),26.44767,50.118097,Deli,8.9,0.9859449605899596
205,Al-Tazaj (الطازج),26.458485,50.090504,Fast Food Restaurant,8.7,0.9879750178665756
206,البيك,26.457044,50.108642,Fast Food Restaurant,8.8,0.9936923220333715
207,CHUCK E. CHEESE'S (تشكي تشيز),26.457662,50.112977,Bar,9,0.9715481258221214
208,Fatté w Snobar (فتة و صنوبر),26.455299,50.096851,Lebanese Restaurant,8.2,0.9833038146433416
209,Shajarat Aldurr (شجرة الدر),26.456657,50.100876,Egyptian Restaurant,8.3,0.9811391107106237
210,McDonald's (ماكدونالدز),26.415665,50.109081,Burger Joint,8.4,0.9985810313933856
213,Oriental Flavors (نكهات الشرق),26.459345,50.093777,Indian Restaurant,8.1,0.9866492661757242
214,McDonald's (ماكدونالدز),26.442657,50.118353,Burger Joint,8.1,0.997783509
215,T.G.I. Friday's (فرايديز),26.454911,50.115537,American Restaurant,8,0.9790572662585836
216,McDonald's (ماكدونالدز),26.459335,50.091878,Burger Joint,7.8,0.9982495934706728
217,Ra3eha (راعيها),26.420253,50.115799,Seafood Restaurant,7.8,0.9749867942702668
219,شاورمات,26.455007,50.096395,Burrito Restaurant,7.5,0.977058281
220,تشك بوكس,26.461925,50.09232,Burger Joint,7.7,0.985831029
221,Be Healthy,26.440646,50.123557,Salad Restaurant,7.7,0.9887725403681032
222,Subway (صب واي),26.413364,50.110016,Deli,7.5,0.9915483329708232
223,&SALAD (اند سالاد),26.411042,50.109225,Salad Restaurant,9.5,0.9992439072388114
224,Al Baik (البيك),26.412991,50.110614,Fast Food Restaurant,8.9,0.9968409822991434
225,Hardee's (هارديز),26.40953,50.108575,Burger Joint,7.8,0.9943034107033736
227,Pastel (باستيل),26.452593,50.123663,Restaurant,8.8,0.980745528
228,Burger Site (برجر سايت),26.464032,50.121594,Burger Joint,9.2,0.9883168132243731
229,Balcony (بالكوني),26.453975,50.12034,Mediterranean Restaurant,8.4,0.9687101886088928
230,كودو,26.465447,50.092515,Fast Food Restaurant,8.4,0.9874675035474216
231,هارديز,26.454236,50.119029,Burger Joint,8.2,0.9935576753772696
232,ShrimpNation,26.451397,50.130249,Seafood Restaurant,8.7,0.990812955
234,McDonald's (ماكدونالدز),26.462229,50.113844,Burger Joint,8.1,0.9982599509057576
235,كودو,26.471015,50.092584,Fast Food Restaurant,8.3,0.9869807040984372
237,كودو,26.437574,50.129099,Fast Food Restaurant,8.1,0.9926047913494702
239,View Cafe,26.451949,50.126317,Café,8,0.9710509689380522
240,Chilis (تشيليز),26.45155,50.128907,American Restaurant,8.1,0.979544066
244,Herfy (هرفي),26.419561,50.019956,Fast Food Restaurant,8,0.999387497
245,حدائق لبنان,26.437807,50.056414,Burger Joint,,0.9741064122880608
247,ورق عنب ستيشن,26.462521,50.049464,Mediterranean Restaurant,8.8,0.999273282
248,Lemons,26.463874,50.048869,Restaurant,8.8,0.9976263087233976
249,يزن,26.471298,50.058872,Restaurant,8.6,0.9747382158282324
250,ماكدونالدز,26.468884,50.060044,Burger Joint,8.1,0.9950180737242228
251,مطاعم باب بوخوخة,26.459248,50.09125,Middle Eastern Restaurant,8,0.95251116
253,La Casa Pasta,26.468377,50.060237,Italian Restaurant,7.7,0.9732156728707704
254,السلطان ابراهيم للأسماك,26.436366,50.094448,Fish and Chips Shop,7.5,0.9461413375591669
