Business ID,POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity
702,بوفية وفوال ومخبز نور الصباح,26.347403,50.134991,Afghan Restaurant,,0.9231271168007954
703,Manoosha Alqusour,26.34772,50.143654,Middle Eastern Restaurant,,0.075743923
704,مطعم عاصمة البرجر,26.347244,50.143957,Burger Joint,,0.6420574009052398
705,McDonald's,26.234398,49.987754,Fast Food Restaurant,8.6,0.9998459071684216
706,McDonald's,26.233773,49.9894,Fast Food Restaurant,7.4,0.2043687799016121
707,فوال محمد عبدالله اللويم,26.245131,49.981418,Middle Eastern Restaurant,6.8,0.5603446742349024
708,Amigo Resturant (مطعم أميغو),26.244824,49.981499,Restaurant,6.6,0.119485541
709,RBG Grill,26.233213,49.987417,American Restaurant,6.8,0.961324684
710,KFC (كنتاكي),26.244824,49.981499,Fried Chicken Joint,5.7,0.9996766722666878
711,مطعم راكان الشمري البخاري,26.245379,49.981826,Halal Restaurant,,0.9957031894671252
712,Alshyokh 2 (مطعم الشيوخ 2),26.245332,49.981542,Fast Food Restaurant,,0.9807943071923942
713,فوال نور الصباح,26.245332,49.981542,Afghan Restaurant,,0.9986367047088912
714,سكبة,26.245131,49.981418,Restaurant,,0.9855350984915316
715,مطعم حسن ابراهيم الابراهيم,26.245131,49.981418,Restaurant,,0.035652882
716,Hungry Bunny (الارنب الجائع),26.244824,49.981499,Fast Food Restaurant,,0.2490673057383738
717,Canton,26.241627,49.984449,Chinese Restaurant,,0.6052750391626104
718,Alkhafeef (عالخفيف),26.23893,49.985902,Restaurant,,0.3145047162458761
719,Bahi,26.241187,49.974281,Indian Restaurant,,0.3236536568290291
720,مطعم انعام البخاري,26.255813,50.000193,Restaurant,,0.4942391803228416
721,الوحيد,26.235897,49.990139,Middle Eastern Restaurant,,0.996697578
722,كودو,26.235249,49.989044,Fast Food Restaurant,,0.9867255705920128
723,مطعم على الخفيف,26.234849,49.989233,Mediterranean Restaurant,,0.4166253313600289
724,كودو,26.234833,49.989296,Restaurant,,0.9034539062023828
725,Medinah Restaurant Dammam Industrial City 2,26.247069,50.003041,Restaurant,,0.4100305907990419
726,We Burger,26.234,49.988215,Burger Joint,,0.946947632
727,Dosa Shop,26.241914,49.970135,Asian Restaurant,,0.2806142438018353
728,Pizzarella,26.233752,49.987807,Pizzeria,,0.9996829581344664
729,مطعم حارة البركة البخاري,26.240639,49.97065,Argentinian Restaurant,,0.9384607945718604
730,مطاعم الغرن الذهبي البخاري,26.238366,49.971963,Restaurant,,0.994591303
731,مطعم منال بروستد وشاورما,26.238534,49.971741,Shawarma Restaurant,,0.5096146928469242
732,Mazak Al-Madina Restaurant,26.23815,49.971902,Restaurant,,0.296204799
733,مطعم و مندي الشاطئ,26.231522,49.987747,Persian Restaurant,,0.9955756652426758
734,مطعم ومندي اللذيذ لتقديم الوجبات و الأكلات الشعبية,26.23137,49.987828,Restaurant,,0.8572151137201279
735,Al Baik (البيك),26.46828,49.79754,Fast Food Restaurant,7.8,0.9510662244164227
736,Papa John's (بابا جونز),26.467251,49.796233,Pizzeria,7.7,0.6832267217074555
737,Root98 Herbs and Seeds Inspired,26.469748,49.796397,Restaurant,7.5,0.9977471398983496
738,Subway (صب واي),26.468628,49.797717,Deli,7.4,0.9651852759527766
739,ماكدونالدز,26.468857,49.797312,Burger Joint,7.3,0.9680431062926244
740,McCafé,26.468139,49.794211,Fast Food Restaurant,7.3,0.959564336
741,البيك,26.468781,49.797786,Fast Food Restaurant,7.3,0.9360693399927904
742,McDonald's (ماكدونالدز),26.466081,49.796546,Fast Food Restaurant,7.1,0.2209686115065227
743,KFC (دجاج كنتاكي),26.468802,49.794093,Fast Food Restaurant,6.8,0.1173175784546919
744,Popeyes Louisiana Kitchen,26.468672,49.797518,Fried Chicken Joint,6.7,0.6074745839080004
745,برجر كنج,26.467852,49.796131,Burger Joint,6.7,0.9441071325639888
746,Burger King (برجر كنج),26.451391,49.802751,Burger Joint,6.8,0.9760866503055964
747,ابو الجدايل لمتد,26.468949,49.797325,Restaurant,,0.2828867758702587
748,Popeyes Louisiana Kitchen,26.468668,49.795853,Fried Chicken Joint,,0.1652614443829854
749,بيك المطار,26.468648,49.79742,Fast Food Restaurant,,0.1400010866662111
750,Cairo 50S,26.468502,49.797266,Egyptian Restaurant,,0.072386654
751,مكسيكانوا,26.468117,49.797428,Mexican Restaurant,,0.9372703479202368
752,كودو,26.467867,49.796068,Fast Food Restaurant,,0.4450857047532994
753,Sbarro (سبارو),26.469334,49.797162,Pizzeria,5.4,0.961226299
754,Papa John's (بابا جونز),26.467365,49.796673,Pizzeria,,0.9299666276408438
755,Nutria,26.467311,49.796107,Restaurant,,0.8803650740389971
756,Airport Restaurant,26.467387,49.795185,Restaurant,,0.4628799530315888
757,البيك,26.485061,49.792087,Fast Food Restaurant,,0.4719248077879611
758,مطعم جدر وملاس - مطار الملك فهد الدولي,26.485907,49.811938,Halal Restaurant,,0.080772765
759,كافيتيريا الشروق,26.451873,49.802667,Deli,,0.9998124673697932
760,Broast Al Basel (بروست الباسل),26.433403,50.066283,Fast Food Restaurant,7.6,0.963075744
761,Hardee's (هارديز),26.430635,50.067014,Fast Food Restaurant,6.4,0.9612839076531088
762,Kilo Kabab (كيلو كباب),26.463943,50.121455,BBQ Joint,8.9,0.9191395042931568
763,دندرة,26.476025,50.118669,Seafood Restaurant,8.3,0.941697998
764,Baskin Robbins (باسكن روبنز),26.476503,50.121917,Ice Cream Parlor,7.8,0.8916819438834167
765,Tacoville,26.458132,50.120514,Mexican Restaurant,8.4,0.9114542874602534
766,Beit Misk (بيت مسك),26.485178,50.127915,Lebanese Restaurant,7.6,0.8951827569420708
767,Burger Works (برجر ووركس),26.451274,50.130282,Burger Joint,8.4,0.008047727
768,the exit (الواجهه البحريه),26.498341,50.12705,Theme Restaurant,8.1,0.9757014818487934
769,I Wish Burger,26.462325,50.121512,Burger Joint,7.8,0.6556774280417198
770,Domino's Pizza (دومينوز بيتزا),26.459848,50.121903,Pizzeria,7.6,0.9589431273239496
771,شاورمجي,26.459542,50.120884,Doner Restaurant,7.5,0.907176667
772,Maestro Pizza,26.455528,50.118925,Pizzeria,7,0.089053227
773,Burger King (برجر كنج),26.46166,50.11358,Burger Joint,6.5,0.9124071714880528
774,مطعم حجر التنور,26.455206,50.120962,Middle Eastern Restaurant,6.5,0.2829340542108152
775,ركن الكبابجي,26.480269,50.132694,Restaurant,,0.9528943852344406
776,Osmanli Lezzat,26.471723,50.131387,Turkish Restaurant,,0.5584314700307615
777,Ocean Restaurant (مطعم أوشِن),26.476201,50.125205,Fish and Chips Shop,,0.9121689504811028
778,Spud,26.473536,50.122758,American Restaurant,,0.5950035733151042
779,مطعم زاوية المشويات,26.467603,50.131067,Restaurant,,0.907031663
780,فوال نور الصباح,26.488945,50.128994,Afghan Restaurant,,0.9243285792706294
781,مطعم هامور الشاطي,26.476287,50.119251,Seafood Restaurant,,0.911278211
782,مطبخ و مندي الروضة,26.416654,50.114736,Middle Eastern Restaurant,7.6,0.9710302540678828
783,فندق الدمام بالاس,26.428777,50.103671,Restaurant,6.3,0.9746035691721302
784,دومينوز بيتزا,26.472026,50.086515,Pizzeria,8.4,0.9563744834229252
785,تكه بحريني,26.448963,50.096155,Middle Eastern Restaurant,8.3,0.966814778
786,Half Pound,26.458764,50.080662,Lounge,7.9,0.9650332991537977
787,Anarkali,26.459215,50.087589,Indian Restaurant,7.7,0.9549865871215651
788,مطعم ومشويات التركية,26.470661,50.092619,Turkish Restaurant,7,0.9354628219867632
789,Burger King (برجر كينق),26.461355,50.074937,Fast Food Restaurant,7.6,0.964370423
790,Kudu (كودو),26.455005,50.105703,Fast Food Restaurant,7.5,0.9815637655490994
