POI Name,POI Latitude,POI Longitude,Category,Rating,Popularity,Matched Population,Population Within 1km
بن عفيف للقهوة والمكسرات,26.430661,50.078078,Coffee Shop,8.7,0.9834281038643592,1216.0,70709
Émilien Cafe,26.456673,50.062232,Café,8.9,0.976043252648914,832.0,14992
Dunkin Donuts (دانكن دونتس),26.429857,50.067426,Coffee Shop,7.9,0.9279536815503008,498.0,41296
Eleven Three Specilty Coffee,26.453003,50.080758,Coffee Shop,9.2,0.9832727423380874,1193.0,50860
Tim Hortons (تيم هورتنز),26.414039,50.05423,Coffee Shop,9.0,0.99770064941118,1017.0,23231
Barnie's (بارنيز),26.420721,50.073482,Coffee Shop,8.5,0.9910097463464148,1778.0,49632
Starbucks (ستاربكس),26.461041,50.062709,Coffee Shop,8.9,0.9770893535924764,,13378
8Oz COFFEE,26.453242,50.062816,Coffee Shop,8.2,0.974655356347554,380.0,18034
Starbucks (ستاربكس),26.462292,50.068479,Coffee Shop,8.9,0.9970067012604998,,22432
Dunkin' Donuts (دانكن دونتس),26.411861,50.072033,Coffee Shop,8.9,0.989342199297766,406.0,36510
دوز,26.429543,50.040595,Coffee Shop,8.3,0.9970688458710084,1243.0,43655
Starbucks (ستاربكس),26.412554,50.071022,Coffee Shop,8.7,0.9596785052149686,406.0,33931
Kav Specialized Coffee,26.46298,50.063263,Coffee Shop,8.5,0.9751732281017929,,12144
PappaRoti Cafe (باباروتي كافيه),26.462396,50.06472,Café,8.3,0.964691503796,,16002
Starbucks (ستاربكس),26.431259,50.08409,Coffee Shop,7.9,0.9854270888357208,1640.0,73432
Verocci Cafe,26.454256,50.061719,Café,7.7,0.9654061668168494,380.0,15233
Tim Hortons,26.436701,50.033922,Coffee Shop,8.0,0.9998037384117038,320.0,35213
مجلس و دلة,26.431419,50.039743,Coffee Shop,7.8,0.9861417518565704,1137.0,44736
Tim Hortons,26.427405,50.038187,Coffee Shop,7.7,0.9279226092450464,509.0,44057
Tim Hortons,26.414539,50.076121,Coffee Shop,7.9,0.9817087696402864,1697.0,43834
مجلس كرك وچباتي,26.443943,50.070307,Café,7.3,0.9481403225305284,1904.0,45540
ستاربكس,26.438295,50.08364,Coffee Shop,7.6,0.97508001118603,2898.0,74883
Majlesi Karak & Chapati,26.443974,50.070418,Café,7.2,0.962889310091249,1904.0,45540
مقهى الأصايل,26.415575,50.065251,Café,7.5,0.964732933536339,1641.0,24868
مقهى فرجان الأول,26.462273,50.064516,Coffee Shop,7.5,0.92430786440046,,16002
Mado,26.462122,50.06728,Coffee Shop,7.4,0.7171902350102021,,20153
Café Liwan (قهوة الليوان),26.462581,50.064908,Café,7.3,0.9598338667412402,,16002
ستاربكس,26.433101,50.044451,Coffee Shop,6.6,0.941843001998985,1616.0,32219
أروما كافيه,26.445943,50.071318,Coffee Shop,6.5,0.921024557478586,1356.0,42604
مقهى دار المزاج,26.434344,50.05502,Café,,0.9427958860267844,702.0,24790
مقهى ديوانية المجلس,26.43705,50.054068,Coffee Shop,5.5,0.8962910024961419,180.0,22643
مقهى وتين,26.442311,50.068725,Coffee Shop,,0.941335487679831,1445.0,43238
Daily Coffee,26.443111,50.068751,Coffee Shop,,0.9009829205895452,1445.0,45260
وادي القهوة,26.426443,50.059359,Coffee Shop,,0.9731120985199224,836.0,12209
Seattle's Best Coffee & Cinnabon,26.429839,50.07054,Café,,0.9434484044371252,2779.0,46437
ديوانية المساء,26.434011,50.046165,Café,,0.5392184279485028,1616.0,27967
Damamm,26.4297,50.043278,Café,,0.9180623310443402,1243.0,34435
ديوانيتنا الجديدة,26.431509,50.079571,Café,,0.9003821893546282,1216.0,77063
محمصة و قهوة قلم المختصة,26.439188,50.041122,Coffee Shop,,0.6484997255279703,1140.0,31848
أرت سويت,26.42691,50.04423,Coffee Shop,,0.99561880495914,513.0,37512
N48 Cafe,26.432556,50.080952,Café,,0.9017079410454796,1528.0,71108
قهوة وترويقة,26.427161,50.04235,Café,,0.950988617178842,178.0,39063
Majlis & Dalla (مجلس و دلة),26.431603,50.039694,Café,,0.9032304840029416,1137.0,44736
UMQ Coffee (قهوة عُمق),26.45869,50.08524,Coffee Shop,9.5,0.999906783084237,1415.0,46023
Starbucks (ستاربكس),26.422585,50.091569,Coffee Shop,8.3,0.9801344395074004,2333.0,56859
بوفية عزيز,26.423848,50.094082,Café,8.1,0.9648468653222716,2333.0,63490
TREEPICA Café,26.458456,50.080743,Coffee Shop,8.1,0.9546447917637676,810.0,42842
bREw’s (بروز),26.421533,50.090762,Coffee Shop,7.8,0.9774518638204436,2333.0,60357
Brighton Cafe,26.417279,50.091732,Coffee Shop,7.8,0.9806212389563848,1589.0,39153
Keen Cafe,26.461207,50.077944,Coffee Shop,7.4,0.9811080384053692,336.0,35261
مستوصف الفارابي (مجمع الفارابي الطبي),26.413929,50.078945,Coffee Shop,6.8,0.9950491460294772,1697.0,38390
Rawaq Hajer (رواق هجر),26.45821,50.080808,Café,6.0,0.8785901459362604,534.0,42842
Kayan (كيان),26.435393,50.088411,Coffee Shop,,0.9834591761696132,1862.0,75488
المذاق المغربي,26.44928,50.088435,Coffee Shop,,0.8750479031372671,1533.0,65639
Pianolla Cafe,26.449388,50.088466,Coffee Shop,,0.7420170069084092,1533.0,66393
مقهى فرجان الاول,26.457264,50.071643,Coffee Shop,,0.9524283006556256,1817.0,31996
Rochen Café,26.420432,50.092025,Café,,0.9105739054780474,2333.0,47323
Dose (دوز),26.447072,50.097542,Coffee Shop,,0.9713927642958498,3756.0,81249
Brighton Cafe,26.417295,50.091669,Coffee Shop,,0.9551523060829216,1589.0,39153
Les Galets Family Coffee Shop,26.456756,50.089895,Coffee Shop,,0.1828812312918828,1854.0,55917
Joffrey’S,26.425652,50.099228,Coffee Shop,,0.9449088027840784,1898.0,67524
Ocaso Caffee,26.423561,50.030331,Coffee Shop,8.6,0.9853960165304664,1029.0,46268
Le 42 Cafe,26.423576,50.030267,Coffee Shop,8.6,0.9627650208702316,1029.0,47668
Dip N Dip,26.423853,50.030312,Coffee Shop,8.5,0.9914965457953993,1029.0,50754
One O One Cafe (101 Cafè),26.421524,50.026367,Coffee Shop,8.8,0.9977731514567733,842.0,52343
ستاربكس,26.428619,50.039654,Coffee Shop,7.5,0.6220571937565381,509.0,47470
C House Cafe,26.411431,50.047636,Coffee Shop,8.0,0.9638939812944722,1939.0,39062
نويمي كافيه,26.421585,50.02564,Coffee Shop,7.8,0.9975660027550778,1815.0,55960
La Maison Du Cafe,26.436486,50.058066,Café,,0.8890511553718837,1531.0,23231
وادي القهوة,26.426907,50.036257,Café,,0.9725838693305988,1952.0,44911
5 O’clock Cafe,26.426307,50.036594,Café,,0.8939087924266435,509.0,42501
Zawia,26.432137,50.032256,Coffee Shop,,0.5461393765208078,2267.0,41002
Fluffy Clouds (فلفِي),26.423653,50.027433,Café,,0.9933919564159132,946.0,51392
بارنز كافيه,26.42276,50.027962,Coffee Shop,,0.7322603030585506,842.0,47487
